"Story","Title","Result","Date","Stability","Duration (s)"
"Create students data driven test","DataDriven Test for adding multiple students to the Student App.","ERROR","2021-02-04T15:38:32.8290821-06:00[America/Mexico_City]","0.0","23.72"
"First serenity test","This is a skipped test","IGNORED","2021-02-04T15:38:35.7735431-06:00[America/Mexico_City]","0.0","0.46"
"First serenity test","This is atest with error","ERROR","2021-02-04T15:38:36.236105-06:00[America/Mexico_City]","0.0","0.36"
"First serenity test","This test will get the information of all the students from the Student App","SUCCESS","2021-02-04T15:38:36.5980505-06:00[America/Mexico_City]","0.0","0.52"
"First serenity test","This is a pending test","PENDING","2021-02-04T15:38:37.1196977-06:00[America/Mexico_City]","0.0","0.43"
"First serenity test","This is a manual test","PENDING","2021-02-04T15:38:37.5505452-06:00[America/Mexico_City]","0.0","0.0"
"First serenity test","This isa failing","FAILURE","2021-02-04T15:38:37.9575415-06:00[America/Mexico_City]","0.0","0.48"
"First serenity test","File does not exist","COMPROMISED","2021-02-04T15:38:38.4408347-06:00[America/Mexico_City]","0.0","0.45"
"First serenity test","Get all students","SUCCESS","2021-02-04T15:38:38.8938077-06:00[America/Mexico_City]","0.0","0.41"
"Students CRUD test","This test will create a new student","SUCCESS","2021-02-04T15:38:39.401157-06:00[America/Mexico_City]","0.0","0.57"
"Students CRUD test","Verify if the student was added to the application","SUCCESS","2021-02-04T15:38:39.9711623-06:00[America/Mexico_City]","0.0","1.24"
"Students CRUD test","Update the user information and verify the updated information!","SUCCESS","2021-02-04T15:38:41.2106403-06:00[America/Mexico_City]","0.0","0.68"
"Students CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2021-02-04T15:38:41.8961283-06:00[America/Mexico_City]","0.0","0.49"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2021-02-04T15:38:42.4416708-06:00[America/Mexico_City]","0.0","0.54"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","SUCCESS","2021-02-04T15:38:42.9842766-06:00[America/Mexico_City]","0.0","0.38"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2021-02-04T15:38:43.3647605-06:00[America/Mexico_City]","0.0","0.48"
